RXNORM_id	name	moa	parents	pe
21212	clarithromycin	P-Glycoprotein Inhibitors|Cytochrome P450 3A4 Inhibitors|Cytochrome P450 3A Inhibitors|Protein Synthesis Inhibitors	Macrolide Antimicrobial|C [Preparations]	Decreased Protein Synthesis
23163	dihydroxyaluminum sodium carbonate	Acid-Base Activity|Electrolyte Activity	D [Preparations]	Gastric Acid Alteration|Increased Renal PO4-- Excretion
42319	nizatidine	Histamine H2 Receptor Antagonists	Histamine-2 Receptor Antagonist|N [Preparations]	Inhibition Gastric Acid Secretion
29151	magaldrate	Electrolyte Activity|Acid-Base Activity	M [Preparations]	Gastric Acid Alteration
9143	ranitidine	Histamine H2 Receptor Antagonists	Histamine-2 Receptor Antagonist|R [Preparations]	Decreased Histamine Activity|Inhibition Gastric Acid Secretion
17128	lansoprazole	Proton Pump Inhibitors	Proton Pump Inhibitor|L [Preparations]	Inhibition Gastric Acid Secretion
8627	prazepam	GABA A Modulators	P [Preparations]	Increased Central Nervous System GABA Activity
10156	sucralfate	Binding Activity	Aluminum Complex|S [Preparations]	Gastric Acid Alteration
8352	pirenzepine	Cholinergic Muscarinic Antagonists	P [Preparations]	Inhibition Gastric Mucous Secretion
7646	omeprazole	Cytochrome P450 2C19 Inhibitors|Proton Pump Inhibitors	Proton Pump Inhibitor|O [Preparations]	Inhibition Gastric Acid Secretion
6581	magnesium hydroxide	Acid-Base Activity|Electrolyte Activity|Osmotic Activity|Enzyme Interactions	M [Preparations]	Cellular Activity Alteration|Gastric Acid Alteration|Small Intestine Fluid/Electrolyte Absorption Alteration
6646	maprotiline	Norepinephrine Uptake Inhibitors	M [Preparations]	Increased Norepinephrine Activity
1806902	aluminum hydroxide sulfate (Al(OH)(SO4))	Acid-Base Activity|Electrolyte Activity	A [Preparations]	Antacid|Increased Renal PO4-- Excretion
612	aluminum hydroxide	Acid-Base Activity|Electrolyte Activity	A [Preparations]	Antacid|Increased Renal PO4-- Excretion
613	aluminum hydroxide gel	Electrolyte Activity|Acid-Base Activity	A [Preparations]	Antacid|Increased Renal PO4-- Excretion
1601995	esomeprazole magnesium dihydrate	Proton Pump Inhibitors	E [Preparations]	Inhibition Gastric Acid Secretion
723	amoxicillin	Transpeptidase Inhibitors	A [Preparations]	Decreased Cell Wall Synthesis & Repair
1299236	lidocaine hydrochloride anhydrous	Sodium Channel Interactions	L [Preparations]	Local Anesthesia|Cardiac Rhythm Alteration|Decreased Cardiac Muscle Organized Electrical Activity|Decreased Sensory-Somatic Nervous System Organized Electrical Activity
1299924	edetate disodium, anhydrous	Lead Chelating Activity|Calcium Chelating Activity	E [Preparations]	
11149	vasopressin (USP)	Pituitary Hormone Receptor Agonists	V [Preparations]	Vasoconstriction|Decreased Diuresis|Increased Collecting Duct Water Permeability|Increased GI Smooth Muscle Tone
4441	flecainide	Ion Channel Interactions	Antiarrhythmic|F [Preparations]	Cardiac Rhythm Alteration|Negative Inotropy
314610	racepinephrine hydrochloride	Adrenergic alpha-Agonists|Adrenergic beta-Agonists|Adrenergic beta1-Agonists|Adrenergic beta2-Agonists	R [Preparations]	Increased Blood Pressure|Pupillary Dilation|Bronchodilation|Arterial Vasoconstriction|Decreased Uterine Smooth Muscle Contraction or Tone|Hemostasis Alteration|Positive Chronotropy|Positive Inotropy|Decreased Intraocular Aqueous Secretion
236903	bopindolol hydrogen malonate	Adrenergic beta2-Antagonists|Adrenergic beta1-Antagonists	B [Preparations]	Decreased Blood Pressure|Negative Chronotropy
3755	edetic acid	Lead Chelating Activity|Calcium Chelating Activity	Anti-coagulant|Lead Chelator|E [Preparations]	Decreased Coagulation Factor Activity
3992	epinephrine	Adrenergic alpha-Agonists|Adrenergic beta-Agonists|Adrenergic beta2-Agonists|Adrenergic beta1-Agonists	Catecholamine|alpha-Adrenergic Agonist|beta-Adrenergic Agonist|E [Preparations]	Increased Blood Pressure|Pupillary Dilation|Bronchodilation|Arterial Vasoconstriction|Decreased Uterine Smooth Muscle Contraction or Tone|Hemostasis Alteration|Positive Inotropy|Positive Chronotropy|Decreased Intraocular Aqueous Secretion
203180	epinephrine bitartrate	Adrenergic alpha-Agonists|Adrenergic beta-Agonists|Adrenergic beta2-Agonists|Adrenergic beta1-Agonists	E [Preparations]	Increased Blood Pressure|Pupillary Dilation|Bronchodilation|Arterial Vasoconstriction|Hemostasis Alteration|Decreased Uterine Smooth Muscle Contraction or Tone|Positive Chronotropy|Decreased Intraocular Aqueous Secretion|Positive Inotropy
203191	metoprolol tartrate	Adrenergic beta-Antagonists|Adrenergic beta1-Antagonists	M [Preparations]	Decreased Blood Pressure|Negative Chronotropy|Negative Inotropy
203222	esmolol hydrochloride	Adrenergic beta-Antagonists|Adrenergic alpha1-Antagonists	E [Preparations]	Decreased Blood Pressure|Negative Inotropy|Negative Chronotropy
155056	procainamide hydrochloride	Unknown Cellular or Molecular Interaction	P [Preparations]	Cardiac Rhythm Alteration|Increased Cardiac Muscle Organized Electrical Activity|Negative Inotropy
1422486	magnesium disodium EDTA	Lead Chelating Activity|Calcium Chelating Activity	M [Preparations]	
221124	metoprolol succinate	Adrenergic beta-Antagonists|Adrenergic beta1-Antagonists	M [Preparations]	Decreased Blood Pressure|Negative Chronotropy|Negative Inotropy
221126	moricizine hydrochloride	Sodium Channel Interactions	M [Preparations]	Cardiac Rhythm Alteration
3539	edetate disodium	Lead Chelating Activity|Calcium Chelating Activity|Chelating Activity	E [Preparations]	Increased Renal Ca++ Excretion|Unknown Physiological Effect
142130	acebutolol hydrochloride	Adrenergic beta-Antagonists|Adrenergic beta1-Antagonists	A [Preparations]	Decreased Blood Pressure|Negative Chronotropy|Negative Inotropy
142440	lidocaine hydrochloride	Sodium Channel Interactions	L [Preparations]	Local Anesthesia|Cardiac Rhythm Alteration|Decreased Cardiac Muscle Organized Electrical Activity|Decreased Sensory-Somatic Nervous System Organized Electrical Activity
102313	metoprolol fumarate	Adrenergic beta1-Antagonists	M [Preparations]	Decreased Blood Pressure|Negative Inotropy|Negative Chronotropy
105745	trisodium edetate	Lead Chelating Activity|Calcium Chelating Activity|Chelating Activity	T [Preparations]	Unknown Physiological Effect
82084	propranolol hydrochloride	Adrenergic beta-Antagonists|Adrenergic beta2-Antagonists|Adrenergic beta1-Antagonists	P [Preparations]	Bronchoconstriction|Decreased Blood Pressure|Cardiac Rhythm Alteration|Arterial Vasodilation|Negative Chronotropy|Negative Inotropy
1737	bretylium tosylate	Adrenergic Antagonists|Potassium Channel Antagonists	B [Preparations]	Atrial Repolarization|Negative Chronotropy|Ventricular Repolarization
42686	flecainide acetate	Ion Channel Interactions	F [Preparations]	Cardiac Rhythm Alteration|Negative Inotropy
49737	esmolol	Adrenergic beta-Antagonists|Adrenergic alpha1-Antagonists	beta-Adrenergic Blocker|E [Preparations]	Decreased Blood Pressure|Negative Chronotropy|Negative Inotropy
19605	bopindolol	Adrenergic beta2-Antagonists|Adrenergic beta1-Antagonists	B [Preparations]	Decreased Blood Pressure|Negative Chronotropy
19685	bretylium	Adrenergic Antagonists|Potassium Channel Antagonists	B [Preparations]	Atrial Repolarization|Negative Chronotropy|Ventricular Repolarization
40169	moricizine	Sodium Channel Interactions	M [Preparations]	Cardiac Rhythm Alteration
1249590	epinephrine sulfate	Adrenergic alpha-Agonists|Adrenergic beta1-Agonists|Adrenergic beta2-Agonists	E [Preparations]	Increased Blood Pressure|Pupillary Dilation|Bronchodilation|Arterial Vasoconstriction|Hemostasis Alteration|Decreased Uterine Smooth Muscle Contraction or Tone|Positive Chronotropy|Positive Inotropy|Decreased Intraocular Aqueous Secretion
24255	epinephryl borate	Adrenergic beta-Agonists|Adrenergic alpha-Agonists|Adrenergic beta2-Agonists|Adrenergic beta1-Agonists	E [Preparations]	Increased Blood Pressure|Pupillary Dilation|Bronchodilation|Arterial Vasoconstriction|Hemostasis Alteration|Decreased Uterine Smooth Muscle Contraction or Tone|Positive Chronotropy|Decreased Intraocular Aqueous Secretion|Positive Inotropy
1202	atenolol	Adrenergic beta-Antagonists|Adrenergic beta1-Antagonists	beta-Adrenergic Blocker|A [Preparations]	Decreased Blood Pressure|Negative Chronotropy|Negative Inotropy
9947	sotalol	Adrenergic beta-Antagonists|Adrenergic beta1-Antagonists|Adrenergic beta2-Antagonists	Antiarrhythmic|S [Preparations]	Cardiac Rhythm Alteration|Arterial Vasodilation|Negative Chronotropy|Negative Inotropy
8700	procainamide	Unknown Cellular or Molecular Interaction	Antiarrhythmic|P [Preparations]	Cardiac Rhythm Alteration|Increased Cardiac Muscle Organized Electrical Activity|Negative Inotropy
8787	propranolol	Adrenergic beta-Antagonists|Adrenergic beta2-Antagonists|Adrenergic beta1-Antagonists	beta-Adrenergic Blocker|P [Preparations]	Bronchoconstriction|Decreased Blood Pressure|Arterial Vasodilation|Cardiac Rhythm Alteration|Negative Inotropy|Negative Chronotropy
6918	metoprolol	Adrenergic beta-Antagonists|Adrenergic beta1-Antagonists	beta-Adrenergic Blocker|M [Preparations]	Decreased Blood Pressure|Negative Chronotropy|Negative Inotropy
7008	sotalol hydrochloride	Adrenergic beta1-Antagonists|Adrenergic beta2-Antagonists	S [Preparations]	Arterial Vasodilation|Negative Chronotropy|Negative Inotropy
149	acebutolol	Adrenergic beta-Antagonists|Adrenergic beta1-Antagonists	beta-Adrenergic Blocker|A [Preparations]	Decreased Blood Pressure|Negative Chronotropy|Negative Inotropy
362	epinephrine hydrochloride	Adrenergic beta-Agonists|Adrenergic alpha-Agonists|Adrenergic beta2-Agonists|Adrenergic beta1-Agonists	E [Preparations]	Increased Blood Pressure|Pupillary Dilation|Bronchodilation|Arterial Vasoconstriction|Decreased Uterine Smooth Muscle Contraction or Tone|Hemostasis Alteration|Positive Chronotropy|Positive Inotropy|Decreased Intraocular Aqueous Secretion
6387	lidocaine	Sodium Channel Interactions	Antiarrhythmic|Amide Local Anesthetic|L [Preparations]	Local Anesthesia|Cardiac Rhythm Alteration|Decreased Cardiac Muscle Organized Electrical Activity|Decreased Sensory-Somatic Nervous System Organized Electrical Activity
266573	topotecan hydrochloride	Topoisomerase Inhibitors	T [Preparations]	Decreased DNA Replication
57308	topotecan	Topoisomerase Inhibitors	Topoisomerase Inhibitor|T [Preparations]	Decreased DNA Replication
2374729	lurbinectedin	Alkylating Activity	Alkylating Drug|L [Preparations]	Cellular Cycle Alteration|Decreased DNA Integrity|Increased Cellular Death
236960	drotaverine hydrochloride	Phosphodiesterase 4 Inhibitors	D [Preparations]	Smooth Muscle Tone Alteration
23684	drotaverin	Phosphodiesterase 4 Inhibitors	D [Preparations]	Smooth Muscle Tone Alteration
1375412	bupivacaine hydrochloride anhydrous	Prostaglandin Receptor Antagonists|Sodium Channel Interactions	B [Preparations]	Local Anesthesia|Decreased Organized Electrical Activity
5489	hydrocodone	Full Opioid Agonists|Opioid Agonists|Opioid mu-Receptor Agonists	H [Preparations]|Opioid Agonist	Analgesia|Decreased Medullary Respiratory Drive|Decreased Organized Electrical Activity
5640	ibuprofen	Cyclooxygenase Inhibitors	Nonsteroidal Anti-inflammatory Drug|I [Preparations]	Decreased Prostaglandin Production|Decreased Platelet Activating Factor Production|Decreased Thromboxane Production
1298851	ropivacaine hydrochloride monohydrate	Sodium Channel Interactions	R [Preparations]	Decreased Organized Electrical Activity
597355	hydrocodone tannate	Opioid mu-Receptor Agonists	H [Preparations]	Analgesia|Decreased Medullary Respiratory Drive|Decreased Organized Electrical Activity
314667	hydrocodone resin complex	Full Opioid Agonists|Opioid mu-Receptor Agonists	H [Preparations]	Analgesia|Decreased Medullary Respiratory Drive|Decreased Organized Electrical Activity
236539	ropivacaine hydrochloride	Sodium Channel Interactions	R [Preparations]	Local Anesthesia|Decreased Organized Electrical Activity
236931	hydrocodone hydrochloride	Opioid mu-Receptor Agonists	H [Preparations]	Analgesia|Decreased Medullary Respiratory Drive|Decreased Organized Electrical Activity
1429044	ibuprofen, sodium salt	Cyclooxygenase Inhibitors	I [Preparations]	Decreased Platelet Activating Factor Production|Decreased Prostaglandin Production|Decreased Thromboxane Production
267396	bupivacaine hydrochloride	Prostaglandin Receptor Antagonists|Sodium Channel Interactions	B [Preparations]	Local Anesthesia|Decreased Organized Electrical Activity
4171	etidocaine	Sodium Channel Interactions	E [Preparations]	Decreased Organized Electrical Activity
203177	hydromorphone hydrochloride	Full Opioid Agonists|Opioid mu-Receptor Agonists	H [Preparations]	Analgesia|Decreased Organized Electrical Activity
227221	etidocaine hydrochloride	Sodium Channel Interactions	E [Preparations]	Decreased Organized Electrical Activity
154985	nalbuphine hydrochloride	Competitive Opioid Antagonists|Partial Opioid Agonists|Opioid Agonists	N [Preparations]	Analgesia|Decreased Organized Electrical Activity
159821	oxycodone terephthalate	Full Opioid Agonists	O [Preparations]	Analgesia|Decreased GI Motility|Decreased Medullary Respiratory Drive|Decreased Organized Electrical Activity|Increased Histamine Production
221107	hydrocodone polistirex	Full Opioid Agonists|Opioid mu-Receptor Agonists	H [Preparations]	Analgesia|Decreased Medullary Respiratory Drive|Decreased Organized Electrical Activity
3423	hydromorphone	Full Opioid Agonists|Opioid mu-Receptor Agonists	H [Preparations]|Opioid Agonist	Analgesia|Decreased Organized Electrical Activity
142439	hydrocodone bitartrate	Full Opioid Agonists|Opioid mu-Receptor Agonists	H [Preparations]	Analgesia|Decreased Medullary Respiratory Drive|Decreased Organized Electrical Activity
82063	oxycodone hydrochloride	Full Opioid Agonists	O [Preparations]	Analgesia|Decreased GI Motility|Decreased Medullary Respiratory Drive|Decreased Organized Electrical Activity|Increased Histamine Production
1815	bupivacaine	Prostaglandin Receptor Antagonists|Sodium Channel Interactions	Amide Local Anesthetic|B [Preparations]	Local Anesthesia|Decreased Organized Electrical Activity
36761	ibuprofen lysine	Cyclooxygenase Inhibitors	I [Preparations]	Decreased Platelet Activating Factor Production|Decreased Prostaglandin Production|Decreased Thromboxane Production
47364	bromfenac sodium	Cyclooxygenase Inhibitors	B [Preparations]	Decreased Prostaglandin Production|Decreased Platelet Aggregation
19737	bromfenac	Cyclooxygenase Inhibitors	Nonsteroidal Anti-inflammatory Drug|B [Preparations]	Decreased Prostaglandin Production|Decreased Platelet Aggregation
35780	ropivacaine	Sodium Channel Interactions	Amide Local Anesthetic|R [Preparations]	Local Anesthesia|Decreased Organized Electrical Activity
7804	oxycodone	Full Opioid Agonists	O [Preparations]|Opioid Agonist	Analgesia|Decreased GI Motility|Decreased Medullary Respiratory Drive|Decreased Organized Electrical Activity|Increased Histamine Production
7238	nalbuphine	Competitive Opioid Antagonists|Partial Opioid Agonists|Opioid Agonists	Opioid Agonist/Antagonist|N [Preparations]	Analgesia|Decreased Organized Electrical Activity
2198974	ropivacaine hydrochloride anhydrous	Sodium Channel Interactions	R [Preparations]	Local Anesthesia|Decreased Organized Electrical Activity
284637	hylan G-F 20	Biological Macromolecular Activity	H [Preparations]	
1358492	tofacitinib citrate	Janus Kinase Inhibitors	T [Preparations]	Decreased Hematopoiesis|Decreased Immunologic Activity
5521	hydroxychloroquine	Enzyme Inhibitors|Physiochemical Activity	Antimalarial|Antirheumatic Agent|H [Preparations]	Decreased Endocytosis|Decreased Immunologically Active Molecule Activity
1357536	tofacitinib	Janus Kinase Inhibitors	T [Preparations]|Janus Kinase Inhibitor	Decreased Hematopoiesis|Decreased Immunologic Activity
5781	indomethacin	Cyclooxygenase Inhibitors	Nonsteroidal Anti-inflammatory Drug|I [Preparations]	Decreased Prostaglandin Production
709271	certolizumab pegol	Biological Response Modifiers|Tumor Necrosis Factor Receptor Blocking Activity|Tumor Necrosis Factor alpha Receptor Blocking Activity	C [Preparations]|Tumor Necrosis Factor Blocker	Immunologic Activity Alteration
819300	golimumab	Biological Response Modifiers|Tumor Necrosis Factor Receptor Blocking Activity|Tumor Necrosis Factor alpha Receptor Blocking Activity	G [Preparations]|Tumor Necrosis Factor Blocker	Immunologic Activity Alteration
660767	oxaprozin potassium	Cyclooxygenase Inhibitors	O [Preparations]	Decreased Prostaglandin Production
1311190	gold	Unknown Cellular or Molecular Interaction	Standardized Chemical Allergen|G [Preparations]	Increased IgG Production|Cell-mediated Immunity|Increased Histamine Release|Decreased Prostaglandin Production
4980	aurothioglucose	Unknown Cellular or Molecular Interaction	A [Preparations]	Increased IgG Production|Cell-mediated Immunity|Increased Histamine Release|Decreased Prostaglandin Production
4981	gold sodium thiomalate	Unknown Cellular or Molecular Interaction	G [Preparations]	Increased IgG Production|Cell-mediated Immunity|Increased Histamine Release|Decreased Prostaglandin Production
484788	cyclosporine microemulsion	Unknown Cellular or Molecular Interaction	C [Preparations]	Decreased Cytokine Production|Decreased Cytokine Activity|Decreased T Lymphocyte Production
612865	tocilizumab	Interleukin 6 Receptor Antagonists	Interleukin-6 Receptor Antagonist|T [Preparations]	Decreased Immunologic Activity
451796	chloroquine hydrochloride	Nucleic Acid Synthesis Inhibitors	C [Preparations]	Decreased Metabolic Rate|Decreased Prostaglandin Activity|Nucleic Acid Replication Alteration
614391	abatacept	CD80-directed Antibody Interactions|CD86-directed Antibody Interactions	Selective T Cell Costimulation Modulator|A [Preparations]	T Lymphocyte Costimulation Activity Modulation|T Lymphocyte Costimulation Activity Blockade|Decreased Cytokine Activity
4331	fenoprofen	Cyclooxygenase Inhibitors	Nonsteroidal Anti-inflammatory Drug|F [Preparations]	Decreased Prostaglandin Production
4419	fish oils	Oxidation Activity|Unknown Cellular or Molecular Interaction	F [Preparations]	Cell Membrane Alteration|Arterial Vasodilation|Cellular Communication Alteration|Decreased Leukotriene Production|Decreased Lipogenesis|Increased Lipolysis|Decreased Platelet Aggregation
4502	flurbiprofen	Cyclooxygenase Inhibitors	Nonsteroidal Anti-inflammatory Drug|F [Preparations]	Decreased Prostaglandin Production
287734	methotrexate sodium	Thymidylate Synthetase Inhibitors|Folic Acid Metabolism Inhibitors|Dihydrofolate Reductase Inhibitors	M [Preparations]	Decreased Epithelial Proliferation|Decreased DNA Integrity|Decreased Immunologic Activity
